,Defective,LOC_EXECUTABLE,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL
0,0,0,1,0,0,1,1,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0
1,0,16,5,0,6,3,1,1,26.51,16.5,7218.24,0.15,91,0.06,401.01,437.47,33,58,14,14,16
2,0,6,1,0,3,1,1,1,16.4,7.07,820.29,0.04,29,0.14,45.57,116.0,11,18,7,9,6
3,0,3,1,0,0,1,1,1,11.65,4.0,186.42,0.02,13,0.25,10.36,46.6,4,9,4,8,3
4,0,50,25,18,9,13,1,9,22.12,57.0,71859.2,0.42,242,0.02,3992.18,1260.69,108,134,18,19,68
5,0,52,25,16,8,13,1,9,22.12,57.0,71859.2,0.42,242,0.02,3992.18,1260.69,108,134,18,19,68
6,0,28,21,5,0,11,1,7,9.09,37.4,12716.0,0.11,85,0.03,706.44,340.0,34,51,5,11,33
7,0,28,21,5,0,11,1,7,9.09,37.4,12716.0,0.11,85,0.03,706.44,340.0,34,51,5,11,33
8,0,28,21,5,0,11,1,7,9.09,37.4,12716.0,0.11,85,0.03,706.44,340.0,34,51,5,11,33
9,0,4,9,3,0,5,5,4,6.95,27.62,5307.06,0.06,47,0.04,294.84,192.11,17,30,4,13,7
10,0,2,1,0,0,1,1,1,13.18,5.25,363.24,0.02,20,0.19,20.18,69.19,6,14,4,7,2
11,0,2,1,0,0,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2
12,0,2,1,0,0,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2
